CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,312,EL AL ISRAEL AIRLINES,2024-02-05T18:40:00,2024-02-05T18:40:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
6H,046,ISRAIR AIRLINES,2024-02-05T19:30:00,2024-02-05T19:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,5133,EL AL ISRAEL AIRLINES,2024-02-05T20:00:00,2024-02-05T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-55,B,ON TIME,בזמן
LY,081,EL AL ISRAEL AIRLINES,2024-02-05T20:05:00,2024-02-05T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,34-55,B,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-02-05T20:05:00,2024-02-05T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,34-55,B,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-02-05T20:05:00,2024-02-05T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,34-55,B,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-02-05T20:05:00,2024-02-05T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,34-55,B,ON TIME,בזמן
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-02-05T20:15:00,2024-02-05T20:15:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,087,EL AL ISRAEL AIRLINES,2024-02-05T20:25:00,2024-02-05T20:25:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,34-55,B,ON TIME,בזמן
6H,562,ISRAIR AIRLINES,2024-02-05T20:40:00,2024-02-05T20:40:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-02-05T20:55:00,2024-02-05T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-02-05T20:55:00,2024-02-05T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
AA,9260,AMERICAN AIRLINES,2024-02-05T21:05:00,2024-02-05T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-02-05T21:05:00,2024-02-05T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
6H,583,ISRAIR AIRLINES,2024-02-05T21:25:00,2024-02-05T21:25:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,12-15,A,ON TIME,בזמן
LY,5108,EL AL ISRAEL AIRLINES,2024-02-05T21:35:00,2024-02-05T21:35:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,974,EL AL ISRAEL AIRLINES,2024-02-05T21:45:00,2024-02-05T21:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LY,544,EL AL ISRAEL AIRLINES,2024-02-05T22:25:00,2024-02-05T22:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
AA,9259,AMERICAN AIRLINES,2024-02-05T20:00:00,2024-02-05T22:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,DELAYED,עיכוב
AM,7862,AERO MEXICO,2024-02-05T20:00:00,2024-02-05T22:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,DELAYED,עיכוב
LY,324,EL AL ISRAEL AIRLINES,2024-02-05T20:00:00,2024-02-05T22:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,DELAYED,עיכוב
SK,3160,SAS,2024-02-05T20:00:00,2024-02-05T22:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,DELAYED,עיכוב
LY,084,EL AL ISRAEL AIRLINES,2024-02-05T22:50:00,2024-02-05T22:50:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
QF,5019,QANTAS AIRWAYS,2024-02-05T22:50:00,2024-02-05T22:50:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
TG,4585,THAI AIRWAYS,2024-02-05T22:50:00,2024-02-05T22:50:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
VN,3295,VIETNAM AIRLINES,2024-02-05T22:50:00,2024-02-05T22:50:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
IZ,777,ARKIA  ISRAELI  AIRLINES,2024-02-04T23:00:00,2024-02-05T23:00:00,D,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3,,,CANCELED,מבוטלת
LY,5102,EL AL ISRAEL AIRLINES,2024-02-05T23:10:00,2024-02-05T23:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-02-05T23:10:00,2024-02-05T23:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
6H,768,ISRAIR AIRLINES,2024-02-05T23:45:00,2024-02-05T23:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
6H,844,ISRAIR AIRLINES,2024-02-06T00:05:00,2024-02-06T00:05:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
