CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,971,EL AL ISRAEL AIRLINES,2024-02-04T05:50:00,2024-02-04T06:17:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-55,B,DEPARTED,המריאה
IZ,771,ARKIA  ISRAELI  AIRLINES,2024-02-04T05:55:00,2024-02-04T06:27:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,29-33,A,DEPARTED,המריאה
LY,345,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T06:30:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,34-55,B,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
SK,3155,SAS,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-02-04T06:00:00,2024-02-04T06:38:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
SK,3157,SAS,2024-02-04T06:00:00,2024-02-04T06:38:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
LY,357,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T06:40:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
SK,3165,SAS,2024-02-04T06:10:00,2024-02-04T06:40:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
AA,9265,AMERICAN AIRLINES,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
AM,7879,AERO MEXICO,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
IB,2394,IBERIA,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,395,EL AL ISRAEL AIRLINES,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-02-04T06:30:00,2024-02-04T06:54:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G13-G18,G,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,5483,THAI AIRWAYS,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
LY,215,EL AL ISRAEL AIRLINES,2024-02-04T06:20:00,2024-02-04T07:02:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
IB,2392,IBERIA,2024-02-04T06:30:00,2024-02-04T07:04:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,393,EL AL ISRAEL AIRLINES,2024-02-04T06:30:00,2024-02-04T07:04:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,381,EL AL ISRAEL AIRLINES,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
SK,3185,SAS,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
TP,8910,AIR PORTUGAL,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
LY,385,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
SK,3167,SAS,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
TP,8898,AIR PORTUGAL,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
LY,541,EL AL ISRAEL AIRLINES,2024-02-04T06:50:00,2024-02-04T07:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-55,B,DEPARTED,המריאה
6H,883,ISRAIR AIRLINES,2024-02-04T07:00:00,2024-02-04T07:24:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,12-15,A,DEPARTED,המריאה
LY,2365,EL AL ISRAEL AIRLINES,2024-02-04T07:05:00,2024-02-04T07:35:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-55,B,DEPARTED,המריאה
LY,573,EL AL ISRAEL AIRLINES,2024-02-04T07:00:00,2024-02-04T07:37:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,34-55,B,DEPARTED,המריאה
LY,2521,EL AL ISRAEL AIRLINES,2024-02-04T07:25:00,2024-02-04T07:46:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,34-55,B,DEPARTED,המריאה
6H,661,ISRAIR AIRLINES,2024-02-04T07:20:00,2024-02-04T08:07:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,15-18,A,DEPARTED,המריאה
6H,041,ISRAIR AIRLINES,2024-02-04T07:30:00,2024-02-04T08:14:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G8-G12,G,DEPARTED,המריאה
EK,2369,EMIRATES,2024-02-04T08:55:00,2024-02-04T08:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1549,FLYDUBAI,2024-02-04T08:55:00,2024-02-04T08:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
WZ,015,RED WINGS AIRLINES,2024-02-04T08:55:00,2024-02-04T08:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
LY,341,EL AL ISRAEL AIRLINES,2024-02-04T08:45:00,2024-02-04T08:56:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,34-55,B,DEPARTED,המריאה
IZ,802,ARKIA  ISRAELI  AIRLINES,2024-02-04T08:55:00,2024-02-04T09:11:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
AM,7885,AERO MEXICO,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
LY,323,EL AL ISRAEL AIRLINES,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
SK,3163,SAS,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
LY,551,EL AL ISRAEL AIRLINES,2024-02-04T07:30:00,2024-02-04T09:19:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,34-55,B,DEPARTED,המריאה
6H,885,ISRAIR AIRLINES,2024-02-04T09:05:00,2024-02-04T09:23:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,19-22,A,DEPARTED,המריאה
AA,9261,AMERICAN AIRLINES,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
AM,7863,AERO MEXICO,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
LY,315,EL AL ISRAEL AIRLINES,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
SK,3181,SAS,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-04T09:35:00,2024-02-04T09:47:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,26-29,A,DEPARTED,המריאה
WZ,016,RED WINGS AIRLINES,2024-02-04T09:55:00,2024-02-04T09:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,1-3,A,CANCELED,מבוטלת
6H,042,ISRAIR AIRLINES,2024-02-04T10:00:00,2024-02-04T10:19:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,043,ISRAIR AIRLINES,2024-02-04T10:20:00,2024-02-04T10:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G10-G13,G,CANCELED,מבוטלת
EK,2370,EMIRATES,2024-02-04T10:10:00,2024-02-04T10:22:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
FZ,1550,FLYDUBAI,2024-02-04T10:10:00,2024-02-04T10:22:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
IZ,807,ARKIA  ISRAELI  AIRLINES,2024-02-04T10:10:00,2024-02-04T10:23:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G14-G18,G,DEPARTED,המריאה
FR,2005,RYANAIR,2024-02-04T10:35:00,2024-02-04T10:38:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,,,LANDED,נחתה
LY,5141,EL AL ISRAEL AIRLINES,2024-02-04T10:15:00,2024-02-04T10:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-55,B,DEPARTED,המריאה
EK,2450,EMIRATES,2024-02-04T10:20:00,2024-02-04T10:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1081,FLYDUBAI,2024-02-04T10:20:00,2024-02-04T10:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,773,ARKIA  ISRAELI  AIRLINES,2024-02-04T10:00:00,2024-02-04T11:04:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,29-33,A,DEPARTED,המריאה
RRR,4071,ROYAL AIR FORCE,2024-02-04T11:20:00,2024-02-04T11:17:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,6,A,DEPARTED,המריאה
LY,023,EL AL ISRAEL AIRLINES,2024-02-04T10:50:00,2024-02-04T11:20:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,34-55,B,DEPARTED,המריאה
EY,593,ETIHAD AIRWAYS,2024-02-04T11:20:00,2024-02-04T11:37:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,9600,EL AL ISRAEL AIRLINES,2024-02-04T11:20:00,2024-02-04T11:37:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,415,ARKIA  ISRAELI  AIRLINES,2024-02-04T11:30:00,2024-02-04T11:46:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,23-26,A,DEPARTED,המריאה
FR,2006,RYANAIR,2024-02-04T11:25:00,2024-02-04T11:52:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,8-11,A,DEPARTED,המריאה
EK,2363,EMIRATES,2024-02-04T11:40:00,2024-02-04T11:53:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1211,FLYDUBAI,2024-02-04T11:40:00,2024-02-04T11:53:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
A3,926,AEGEAN  AIRLINES,2024-02-04T12:00:00,2024-02-04T11:56:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
JU,7620,AIR SERBIA,2024-02-04T12:00:00,2024-02-04T11:56:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
BZ,701,BLUE BIRD AIRWAYS,2024-02-04T12:10:00,2024-02-04T12:07:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,725,ISRAIR AIRLINES,2024-02-04T11:15:00,2024-02-04T12:07:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,19-22,A,DEPARTED,המריאה
LY,542,EL AL ISRAEL AIRLINES,2024-02-04T12:05:00,2024-02-04T12:09:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,973,EL AL ISRAEL AIRLINES,2024-02-04T11:50:00,2024-02-04T12:11:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-55,B,DEPARTED,המריאה
EK,2451,EMIRATES,2024-02-04T11:35:00,2024-02-04T12:14:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
FZ,1082,FLYDUBAI,2024-02-04T11:35:00,2024-02-04T12:14:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
IZ,808,ARKIA  ISRAELI  AIRLINES,2024-02-04T12:25:00,2024-02-04T12:34:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,884,ISRAIR AIRLINES,2024-02-04T12:45:00,2024-02-04T12:47:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,327,EL AL ISRAEL AIRLINES,2024-02-04T12:10:00,2024-02-04T12:49:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
SK,3159,SAS,2024-02-04T12:10:00,2024-02-04T12:49:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
6H,044,ISRAIR AIRLINES,2024-02-04T13:00:00,2024-02-04T13:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,CANCELED,מבוטלת
EY,594,ETIHAD AIRWAYS,2024-02-04T13:00:00,2024-02-04T13:10:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,28-33,A,DEPARTED,המריאה
LY,9601,EL AL ISRAEL AIRLINES,2024-02-04T13:00:00,2024-02-04T13:10:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,28-33,A,DEPARTED,המריאה
LY,5142,EL AL ISRAEL AIRLINES,2024-02-04T13:25:00,2024-02-04T13:16:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
A3,927,AEGEAN  AIRLINES,2024-02-04T12:50:00,2024-02-04T13:21:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,1-4,A,DEPARTED,המריאה
EK,4978,EMIRATES,2024-02-04T12:50:00,2024-02-04T13:21:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,1-4,A,DEPARTED,המריאה
FB,1514,BULGARIA  AIR,2024-02-04T12:50:00,2024-02-04T13:21:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,1-4,A,DEPARTED,המריאה
JU,7621,AIR SERBIA,2024-02-04T12:50:00,2024-02-04T13:21:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,1-4,A,DEPARTED,המריאה
EK,2345,EMIRATES,2024-02-04T13:05:00,2024-02-04T13:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2024-02-04T13:05:00,2024-02-04T13:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
BZ,702,BLUE BIRD AIRWAYS,2024-02-04T13:00:00,2024-02-04T13:36:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,G1-G4,G,DEPARTED,המריאה
A4,5025,AZIMUTH AIRLINES,2024-02-04T13:20:00,2024-02-04T13:43:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
LY,574,EL AL ISRAEL AIRLINES,2024-02-04T13:35:00,2024-02-04T13:45:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
EK,2364,EMIRATES,2024-02-04T12:55:00,2024-02-04T13:46:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
FZ,1212,FLYDUBAI,2024-02-04T12:55:00,2024-02-04T13:46:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-04T13:20:00,2024-02-04T13:48:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G15-G18,G,DEPARTED,המריאה
LY,612,EL AL ISRAEL AIRLINES,2024-02-04T13:55:00,2024-02-04T13:56:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
S7,4483,SIBERIA AIRLINES,2024-02-04T13:55:00,2024-02-04T13:56:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
LY,375,EL AL ISRAEL AIRLINES,2024-02-04T13:40:00,2024-02-04T13:57:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,34-55,B,DEPARTED,המריאה
TP,8920,AIR PORTUGAL,2024-02-04T13:40:00,2024-02-04T13:57:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,34-55,B,DEPARTED,המריאה
AF,962,AIR FRANCE,2024-02-04T14:20:00,2024-02-04T14:09:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
DL,8457,DELTA AIRLINES,2024-02-04T14:20:00,2024-02-04T14:09:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
TO,3450,TRANSAVIA FRANCE,2024-02-04T14:25:00,2024-02-04T14:15:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
6H,047,ISRAIR AIRLINES,2024-02-04T13:45:00,2024-02-04T14:34:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G11-G14,G,DEPARTED,המריאה
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-04T15:10:00,2024-02-04T14:40:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7442,DELTA AIRLINES,2024-02-04T15:10:00,2024-02-04T14:40:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,026,EL AL ISRAEL AIRLINES,2024-02-04T15:10:00,2024-02-04T14:40:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
NH,5621,ALL NIPPON AIRWAYS,2024-02-04T14:45:00,2024-02-04T14:46:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
OS,857,AUSTRIAN AIRLINES,2024-02-04T14:45:00,2024-02-04T14:46:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
A4,5026,AZIMUTH AIRLINES,2024-02-04T14:20:00,2024-02-04T14:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,8-11,A,DEPARTED,המריאה
LY,012,EL AL ISRAEL AIRLINES,2024-02-04T15:20:00,2024-02-04T14:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-02-04T14:40:00,2024-02-04T14:51:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
EK,2346,EMIRATES,2024-02-04T14:20:00,2024-02-04T14:54:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-15,A,DEPARTED,המריאה
FZ,1126,FLYDUBAI,2024-02-04T14:20:00,2024-02-04T14:54:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-15,A,DEPARTED,המריאה
LO,153,LOT POLISH AIRLINES,2024-02-04T15:00:00,2024-02-04T14:58:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,5107,EL AL ISRAEL AIRLINES,2024-02-04T14:35:00,2024-02-04T14:58:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,34-55,B,DEPARTED,המריאה
LY,9254,EL AL ISRAEL AIRLINES,2024-02-04T15:00:00,2024-02-04T14:58:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,355,EL AL ISRAEL AIRLINES,2024-02-04T14:45:00,2024-02-04T15:01:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
SK,3179,SAS,2024-02-04T14:45:00,2024-02-04T15:01:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
LY,5129,EL AL ISRAEL AIRLINES,2024-02-04T14:35:00,2024-02-04T15:04:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,34-55,B,DEPARTED,המריאה
LY,2366,EL AL ISRAEL AIRLINES,2024-02-04T14:55:00,2024-02-04T15:08:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
AC,9020,AIR CANADA,2024-02-04T15:15:00,2024-02-04T15:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LH,686,LUFTHANSA,2024-02-04T15:15:00,2024-02-04T15:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
NH,5459,ALL NIPPON AIRWAYS,2024-02-04T15:15:00,2024-02-04T15:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
SN,7173,BRUSSELS AIRLINES,2024-02-04T15:15:00,2024-02-04T15:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9120,UNITED AIRLINES,2024-02-04T15:15:00,2024-02-04T15:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-04T14:30:00,2024-02-04T15:16:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,386,EL AL ISRAEL AIRLINES,2024-02-04T14:30:00,2024-02-04T15:16:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
